1,0.455,0.265,0.095,0.514,0.2245,0.101,0.15,15
1,0.25,0.265,0.09,0.2255,0.0995,0.0485,0.07,7
2,0.52,0.42,0.125,0.677,0.2565,0.1415,0.21,9
1,0.44,0.265,0.125,0.516,0.2155,0.114,0.155,10
3,0.22,0.255,0.08,0.205,0.0895,0.0295,0.055,7
3,0.425,0.2,0.095,0.2515,0.141,0.0775,0.12,8
2,0.52,0.415,0.15,0.7775,0.227,0.1415,0.22,20
2,0.545,0.425,0.125,0.768,0.294,0.1495,0.26,16
1,0.475,0.27,0.125,0.5095,0.2165,0.1125,0.165,9
2,0.55,0.44,0.15,0.8945,0.2145,0.151,0.22,19
2,0.525,0.28,0.14,0.6065,0.194,0.1475,0.21,14
1,0.42,0.25,0.11,0.406,0.1675,0.081,0.125,10
1,0.49,0.28,0.125,0.5415,0.2175,0.095,0.19,11
2,0.525,0.405,0.145,0.6845,0.2725,0.171,0.205,10
2,0.47,0.255,0.1,0.4755,0.1675,0.0805,0.185,10
1,0.5,0.4,0.12,0.6645,0.258,0.122,0.24,12
3,0.255,0.28,0.085,0.2905,0.095,0.0295,0.115,7
2,0.44,0.24,0.1,0.451,0.188,0.087,0.12,10
1,0.265,0.295,0.08,0.2555,0.097,0.042,0.1,7
1,0.45,0.22,0.1,0.281,0.1705,0.075,0.115,9
1,0.255,0.28,0.095,0.2455,0.0955,0.062,0.075,11
3,0.28,0.275,0.1,0.2255,0.08,0.049,0.085,10
2,0.565,0.44,0.155,0.9295,0.4275,0.214,0.27,12
2,0.55,0.415,0.125,0.7625,0.218,0.21,0.2,9
2,0.615,0.48,0.165,1.1615,0.512,0.201,0.205,10
2,0.56,0.44,0.14,0.9285,0.2825,0.188,0.2,11
2,0.58,0.45,0.185,0.9955,0.2945,0.272,0.285,11
1,0.59,0.445,0.14,0.921,0.256,0.224,0.28,12
1,0.605,0.475,0.18,0.9265,0.294,0.219,0.295,15
1,0.575,0.425,0.14,0.8625,0.292,0.227,0.2,11
1,0.58,0.47,0.165,0.9975,0.2925,0.242,0.22,10
2,0.68,0.56,0.165,1.629,0.6055,0.2805,0.46,15
1,0.665,0.525,0.165,1.228,0.5515,0.2575,0.25,18
2,0.68,0.55,0.175,1.798,0.815,0.2925,0.455,19
2,0.705,0.55,0.2,1.7095,0.622,0.4115,0.49,12
1,0.465,0.255,0.105,0.4795,0.227,0.124,0.125,8
2,0.54,0.475,0.155,1.217,0.5205,0.2075,0.24,16
2,0.45,0.255,0.105,0.5225,0.227,0.1165,0.145,8
2,0.575,0.445,0.125,0.882,0.281,0.2025,0.26,11
1,0.255,0.29,0.09,0.2275,0.124,0.086,0.09,9
2,0.45,0.225,0.105,0.425,0.1865,0.091,0.115,9
2,0.55,0.425,0.125,0.8515,0.262,0.196,0.27,14
3,0.24,0.175,0.045,0.07,0.0215,0.0225,0.02,5
3,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,5
3,0.21,0.15,0.05,0.042,0.0175,0.0125,0.015,4
3,0.29,0.295,0.095,0.202,0.0875,0.045,0.075,7
1,0.47,0.27,0.12,0.5795,0.292,0.227,0.14,9
2,0.46,0.275,0.12,0.4605,0.1775,0.11,0.15,7
3,0.225,0.245,0.07,0.161,0.0755,0.0255,0.045,6
2,0.525,0.425,0.16,0.8255,0.2545,0.2125,0.245,9
3,0.52,0.41,0.12,0.595,0.2285,0.111,0.19,8
1,0.4,0.22,0.095,0.202,0.1225,0.06,0.1,7
1,0.485,0.26,0.12,0.5415,0.2595,0.096,0.16,10
